epoch,train_loss,val_loss,train_acc,val_acc
1,2.105212595276799,1.7228842866295029,32.43309164283022,40.71484071484071
2,1.6413138699869738,1.5092065897793336,42.29583804518947,45.39238539238539
3,1.4491753341458369,1.369099328407634,47.573116920552565,48.749028749028746
4,1.2979398565934905,1.2905757841007048,52.32488525244462,52.19114219114219
5,1.1720136815351798,1.176000414670401,56.4624492782545,55.58663558663559
6,1.0554874652243675,1.1602219062471397,60.71974988358944,56.915306915306914
7,0.9543290734713805,1.1002452021728157,64.34510743031996,58.95881895881896
8,0.8555036298983486,1.0844606640309595,67.9793343533116,60.707070707070706
9,0.7720829395960409,0.8978579904532832,71.22552606487949,66.41025641025641
10,0.6916694076771431,0.8663346389185512,74.18124570389587,67.90986790986791
11,0.6232528604619892,0.8911539380996221,77.20348566487061,67.17948717948718
12,0.5529819990831909,0.8397142643774778,79.35209206412559,70.12432012432012
13,0.5020563167566103,0.8311428646606142,81.50291580744585,71.08780108780108
14,0.45130434151976667,0.8161750330353414,83.45861327302157,71.11111111111111
15,0.40811960354236,0.7796295066749032,85.25687930996253,73.06915306915307
16,0.3709134713924946,0.8656394426377184,86.5030266746491,71.14219114219114
17,0.33327705366867233,0.8313380476273943,87.90882281203574,72.73504273504274
18,0.30484719284882783,0.7616622423638388,88.94653983458613,75.34576534576534
19,0.28063983280502314,0.7502414254205826,89.95099669615735,75.5944055944056
20,0.25742524825300733,0.826396858166484,90.82241291381183,75.12043512043512
21,0.23815775919467844,0.8469020380140525,91.571875207876,74.18026418026417
22,0.22002312698738372,0.7981580502953776,92.07299496662897,75.78088578088578
23,0.20219522249085684,0.8663366079748153,92.82245726069314,75.05050505050505
24,0.18944204112660165,0.7759749226390688,93.41670547018781,76.96969696969697
25,0.17680415919063786,0.7538445621922658,93.81582740193795,77.58352758352758
26,0.1687627154356199,0.7928193071088696,94.14621166766447,76.7132867132867
27,0.15961418518175682,0.7951217733775818,94.41894498769373,77.3038073038073
28,0.14978727330090413,0.7890327421973486,94.76041597374665,77.3970473970474
