,bbch_13,bbch_14,bbch_15,bbch_16,bbch_17,bbch_19,bbch_20,bbch_21,bbch_22,bbch_23,bbch_27,bbch_28,bbch_29,bbch_51,bbch_52,bbch_53,bbch_54,bbch_55,bbch_56,bbch_59,bbch_60,bbch_61,bbch_62,bbch_63,bbch_64,bbch_65,bbch_66,bbch_67,bbch_68,bbch_69,bbch_70,bbch_71,bbch_72,bbch_73,bbch_74,bbch_75,bbch_76,bbch_77,bbch_78,bbch_79,bbch_80,bbch_81,bbch_82,bbch_83,bbch_84,bbch_85,bbch_86,bbch_87,bbch_88,bbch_89
bbch_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,8,4,3,48,20,6,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbch_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,11,2,105,12,11,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbch_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,2,12,109,14,8,4,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
bbch_70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,4,2,3,6,4,282,11,7,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
bbch_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,19,177,11,8,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0
bbch_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,18,169,30,10,6,4,3,2,3,0,1,0,0,0,0,0,0,0,0
bbch_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,14,198,15,17,5,1,3,5,1,0,1,0,0,0,0,0,0,0
bbch_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,11,149,19,6,4,7,0,2,0,0,0,0,0,0,0,0,0
bbch_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,21,13,205,19,15,8,1,1,0,0,0,0,0,0,0,0,0
bbch_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,10,198,16,24,4,3,0,0,0,0,0,0,0,0,0
