epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12462.5,0.66039,0.61469,0.95566,0.6648,0.59779,0.60876,0.43565,0.51671,0.45138,0.81987,0.00966141,0.00966141,0.00966141
43,12757,0.65648,0.61036,0.95314,0.67465,0.5984,0.61185,0.43998,0.51039,0.44406,0.8144,0.00965315,0.00965315,0.00965315
44,13051.5,0.65091,0.60267,0.94646,0.67249,0.60497,0.61867,0.44525,0.50441,0.43719,0.80941,0.00964489,0.00964489,0.00964489
45,13345.9,0.64605,0.59493,0.94243,0.67273,0.61022,0.62425,0.45,0.49836,0.42989,0.80442,0.00963663,0.00963663,0.00963663
46,13640.4,0.64181,0.58811,0.93905,0.68597,0.60781,0.62982,0.45452,0.4933,0.42253,0.79972,0.00962837,0.00962837,0.00962837
47,13934.4,0.63829,0.58536,0.93514,0.6863,0.61398,0.63442,0.45853,0.48782,0.41594,0.79483,0.00962012,0.00962012,0.00962012
48,14228.4,0.63556,0.57933,0.93366,0.68997,0.62074,0.63883,0.46323,0.48259,0.40909,0.79067,0.00961186,0.00961186,0.00961186
49,14522.2,0.62788,0.57292,0.92926,0.70225,0.62242,0.64423,0.46732,0.47701,0.40261,0.78587,0.0096036,0.0096036,0.0096036
50,14815.8,0.62204,0.56529,0.92312,0.70457,0.62333,0.64912,0.47091,0.472,0.39704,0.78156,0.00959534,0.00959534,0.00959534
51,15109.4,0.61932,0.56212,0.92053,0.70593,0.62628,0.65107,0.47425,0.46736,0.39154,0.77757,0.00958708,0.00958708,0.00958708
52,15403.5,0.61715,0.55667,0.91773,0.70732,0.63274,0.65714,0.47913,0.46263,0.38589,0.77354,0.00957882,0.00957882,0.00957882
53,15696.8,0.61416,0.55286,0.91757,0.70638,0.64009,0.6601,0.48307,0.45776,0.38048,0.76951,0.00957057,0.00957057,0.00957057
54,15990.7,0.60754,0.54331,0.90948,0.7053,0.64567,0.66319,0.48662,0.45319,0.37549,0.76569,0.00956231,0.00956231,0.00956231
55,16284.8,0.60643,0.54201,0.90776,0.711,0.64837,0.66623,0.49012,0.44851,0.3702,0.76161,0.00955405,0.00955405,0.00955405
56,16578.8,0.60109,0.53614,0.90538,0.71117,0.65413,0.67079,0.49371,0.44412,0.36505,0.75781,0.00954579,0.00954579,0.00954579
57,16872.1,0.59835,0.53282,0.90105,0.71364,0.65477,0.67443,0.49733,0.43998,0.36034,0.75416,0.00953753,0.00953753,0.00953753
58,17165.2,0.59225,0.52609,0.89551,0.72,0.6555,0.67891,0.50145,0.43616,0.35602,0.75082,0.00952928,0.00952928,0.00952928
59,17458.7,0.59231,0.52552,0.89599,0.72493,0.65902,0.68234,0.50538,0.43233,0.35171,0.74753,0.00952102,0.00952102,0.00952102
