epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,53035.6,0.40875,0.33066,0.737,0.90868,0.81967,0.87814,0.71883,0.26228,0.19671,0.60551,0.00852176,0.00852176,0.00852176
181,53325.9,0.40726,0.32926,0.73558,0.90903,0.82116,0.87912,0.72013,0.26134,0.19606,0.60483,0.0085135,0.0085135,0.0085135
182,53617,0.40647,0.32823,0.73488,0.90985,0.82079,0.88015,0.72155,0.26041,0.19539,0.60416,0.00850524,0.00850524,0.00850524
183,53907.7,0.40651,0.32871,0.73592,0.91086,0.82234,0.88095,0.7236,0.25953,0.19472,0.60353,0.00849698,0.00849698,0.00849698
184,54198.4,0.40536,0.3276,0.73348,0.91016,0.82428,0.88222,0.72539,0.25865,0.19409,0.60289,0.00848873,0.00848873,0.00848873
185,54489.6,0.40646,0.32755,0.73527,0.91329,0.82398,0.88337,0.72645,0.2578,0.19347,0.60227,0.00848047,0.00848047,0.00848047
186,54780.4,0.4043,0.32585,0.73404,0.91442,0.82461,0.88435,0.72771,0.25697,0.19285,0.60168,0.00847221,0.00847221,0.00847221
187,55071.4,0.40417,0.32548,0.7343,0.91588,0.82443,0.88532,0.72851,0.25613,0.19218,0.60106,0.00846395,0.00846395,0.00846395
188,55362.2,0.40426,0.3259,0.73338,0.9173,0.82505,0.88615,0.7302,0.25524,0.1915,0.60042,0.00845569,0.00845569,0.00845569
189,55653,0.40438,0.32609,0.73251,0.9202,0.8247,0.88725,0.73184,0.2544,0.19087,0.5998,0.00844743,0.00844743,0.00844743
190,55943.8,0.3997,0.32145,0.72985,0.92088,0.8256,0.88792,0.73297,0.25353,0.19022,0.59916,0.00843918,0.00843918,0.00843918
191,56234.7,0.40221,0.32385,0.73079,0.92376,0.82618,0.88915,0.73449,0.25266,0.18961,0.59854,0.00843092,0.00843092,0.00843092
192,56525.4,0.4024,0.3239,0.73171,0.92968,0.82555,0.89034,0.73614,0.25177,0.18897,0.59793,0.00842266,0.00842266,0.00842266
193,56815.9,0.40109,0.32304,0.73112,0.93098,0.8249,0.89118,0.73732,0.25094,0.18835,0.59734,0.0084144,0.0084144,0.0084144
194,57106.1,0.39953,0.32127,0.73064,0.93023,0.82657,0.89201,0.73886,0.25002,0.1877,0.5967,0.00840614,0.00840614,0.00840614
195,57396.3,0.40137,0.32353,0.73098,0.9294,0.82941,0.89269,0.73996,0.24916,0.18712,0.59611,0.00839788,0.00839788,0.00839788
196,57686.4,0.40011,0.32256,0.73005,0.93133,0.8284,0.89351,0.74134,0.24834,0.18653,0.59554,0.00838963,0.00838963,0.00838963
197,57976.2,0.39738,0.31974,0.728,0.92993,0.83232,0.89464,0.74289,0.24756,0.18597,0.59499,0.00838137,0.00838137,0.00838137
198,58266.2,0.39888,0.32183,0.72912,0.93024,0.83456,0.89544,0.74441,0.24675,0.18541,0.59441,0.00837311,0.00837311,0.00837311
199,58556.4,0.39835,0.3213,0.72971,0.9335,0.83339,0.89636,0.74564,0.24595,0.18486,0.59385,0.00836485,0.00836485,0.00836485
200,58846.8,0.39798,0.3202,0.72869,0.93516,0.83319,0.89718,0.74725,0.24517,0.18433,0.5933,0.00835659,0.00835659,0.00835659
201,59138.2,0.3959,0.31965,0.72809,0.93331,0.83492,0.89787,0.74852,0.2444,0.18376,0.59276,0.00834833,0.00834833,0.00834833
202,59430.1,0.39358,0.31659,0.72518,0.93194,0.83641,0.89852,0.7493,0.24366,0.18323,0.59224,0.00834008,0.00834008,0.00834008
203,59721.9,0.39373,0.31645,0.72489,0.93362,0.83609,0.89919,0.75017,0.24293,0.18269,0.59171,0.00833182,0.00833182,0.00833182
204,60014.4,0.39559,0.31809,0.72688,0.93227,0.83828,0.89957,0.75149,0.24214,0.18215,0.59116,0.00832356,0.00832356,0.00832356
205,60306.7,0.39263,0.31595,0.72541,0.93077,0.8404,0.9004,0.75282,0.24143,0.18162,0.59066,0.0083153,0.0083153,0.0083153
206,60599,0.39265,0.31539,0.72484,0.9343,0.83955,0.90144,0.75421,0.24066,0.18109,0.59012,0.00830704,0.00830704,0.00830704
207,60891.1,0.39192,0.31528,0.72438,0.93444,0.83958,0.90225,0.75514,0.23992,0.18058,0.58962,0.00829878,0.00829878,0.00829878
208,61183.1,0.39248,0.31588,0.72412,0.93473,0.84284,0.90303,0.75637,0.23916,0.18004,0.5891,0.00829052,0.00829052,0.00829052
209,61475.2,0.39175,0.31502,0.72459,0.93573,0.84343,0.90373,0.75761,0.23845,0.17955,0.58861,0.00828227,0.00828227,0.00828227
210,61766.5,0.39116,0.31395,0.72328,0.93659,0.8453,0.90449,0.75856,0.23776,0.17907,0.58813,0.00827401,0.00827401,0.00827401
211,62057.5,0.38876,0.31211,0.7228,0.93686,0.846,0.90549,0.75967,0.23706,0.17861,0.58765,0.00826575,0.00826575,0.00826575
212,62348.5,0.38894,0.31223,0.72275,0.93746,0.84801,0.9062,0.76059,0.23633,0.1781,0.58715,0.00825749,0.00825749,0.00825749
213,62639.5,0.39004,0.31328,0.72194,0.93974,0.84725,0.90741,0.76202,0.23565,0.17765,0.58666,0.00824923,0.00824923,0.00824923
214,62930.2,0.38842,0.31219,0.72212,0.94004,0.84912,0.90819,0.7633,0.23495,0.17715,0.58618,0.00824098,0.00824098,0.00824098
215,63221,0.38862,0.31254,0.72162,0.94032,0.84975,0.90882,0.76423,0.23427,0.17665,0.58571,0.00823272,0.00823272,0.00823272
216,63512,0.38686,0.31115,0.72098,0.93988,0.85055,0.90946,0.7653,0.23357,0.17614,0.58526,0.00822446,0.00822446,0.00822446
217,63803.6,0.38834,0.31127,0.72152,0.94072,0.85101,0.91013,0.76672,0.23291,0.17567,0.5848,0.0082162,0.0082162,0.0082162
218,64095.4,0.38795,0.3109,0.72071,0.9421,0.85177,0.91111,0.76812,0.23228,0.17523,0.58436,0.00820794,0.00820794,0.00820794
219,64387.7,0.38526,0.30969,0.72031,0.94359,0.85161,0.91169,0.76915,0.23156,0.17476,0.58388,0.00819968,0.00819968,0.00819968
220,64679.7,0.38544,0.30949,0.71898,0.94279,0.85205,0.91227,0.77029,0.23094,0.17437,0.58345,0.00819143,0.00819143,0.00819143
221,64971.2,0.38596,0.30959,0.72008,0.94647,0.85158,0.91331,0.77165,0.23029,0.17389,0.58301,0.00818317,0.00818317,0.00818317
222,65262.6,0.38604,0.31068,0.71936,0.94742,0.85324,0.91376,0.77224,0.22961,0.17346,0.58255,0.00817491,0.00817491,0.00817491
223,65554.2,0.38441,0.308,0.71839,0.94867,0.85341,0.91452,0.77337,0.22896,0.17303,0.5821,0.00816665,0.00816665,0.00816665
224,65845.7,0.38331,0.30776,0.71759,0.94813,0.85516,0.91507,0.77422,0.22835,0.17259,0.58169,0.00815839,0.00815839,0.00815839
225,66137.3,0.38179,0.30626,0.71559,0.9488,0.85489,0.91563,0.77559,0.22774,0.17223,0.58126,0.00815013,0.00815013,0.00815013
226,66428.5,0.38531,0.30867,0.71947,0.951,0.8558,0.91647,0.77665,0.22708,0.17181,0.58082,0.00814187,0.00814187,0.00814187
227,66719.6,0.37976,0.30423,0.71514,0.95265,0.85595,0.91712,0.77754,0.22648,0.17141,0.58042,0.00813362,0.00813362,0.00813362
228,67010.3,0.37981,0.30446,0.71473,0.95259,0.85653,0.91806,0.77853,0.22589,0.171,0.58,0.00812536,0.00812536,0.00812536
229,67301.2,0.38005,0.3043,0.71455,0.95319,0.85806,0.91873,0.77941,0.22524,0.17057,0.57956,0.0081171,0.0081171,0.0081171
230,67592.1,0.38046,0.30497,0.71488,0.95505,0.8575,0.91934,0.7804,0.22463,0.17017,0.57916,0.00810884,0.00810884,0.00810884
231,67883,0.37804,0.30298,0.7134,0.95542,0.8602,0.91988,0.78156,0.22403,0.16975,0.57874,0.00810058,0.00810058,0.00810058
232,68174.2,0.37884,0.30394,0.71533,0.95471,0.86186,0.92045,0.78221,0.22341,0.16931,0.57833,0.00809233,0.00809233,0.00809233
233,68465.4,0.37978,0.30425,0.71558,0.95602,0.86243,0.92095,0.7828,0.22282,0.16891,0.57795,0.00808407,0.00808407,0.00808407
234,68756.3,0.37883,0.30249,0.71332,0.95648,0.863,0.9214,0.78343,0.22225,0.16852,0.57755,0.00807581,0.00807581,0.00807581
235,69047.2,0.37795,0.303,0.71444,0.95418,0.86478,0.92209,0.78446,0.22165,0.16809,0.57715,0.00806755,0.00806755,0.00806755
236,69338.2,0.3783,0.30272,0.71434,0.95376,0.86598,0.92265,0.78507,0.22106,0.1677,0.57678,0.00805929,0.00805929,0.00805929
237,69629.2,0.37728,0.30272,0.71272,0.95476,0.86841,0.92349,0.78614,0.22047,0.16729,0.57637,0.00805103,0.00805103,0.00805103
238,69920.1,0.37482,0.30069,0.71296,0.95752,0.86785,0.92374,0.78698,0.21984,0.1669,0.57597,0.00804278,0.00804278,0.00804278
239,70211.6,0.37661,0.30188,0.71381,0.95703,0.86916,0.92435,0.78771,0.21928,0.16652,0.57559,0.00803452,0.00803452,0.00803452
240,70502.9,0.37744,0.3019,0.71302,0.95771,0.86997,0.92488,0.78853,0.21876,0.16616,0.57523,0.00802626,0.00802626,0.00802626
241,70794.3,0.37432,0.29977,0.71047,0.95687,0.87119,0.92538,0.78984,0.21815,0.16582,0.57485,0.008018,0.008018,0.008018
242,71085.5,0.37358,0.29887,0.70993,0.95684,0.87204,0.92581,0.79045,0.21763,0.16545,0.57451,0.00800974,0.00800974,0.00800974
243,71376.7,0.37611,0.3011,0.71219,0.95894,0.87259,0.92625,0.79132,0.21711,0.16506,0.57416,0.00800148,0.00800148,0.00800148
244,71667.9,0.37571,0.30052,0.71236,0.95928,0.87347,0.92644,0.79204,0.21657,0.16471,0.57382,0.00799322,0.00799322,0.00799322
245,71959.7,0.37199,0.29877,0.71058,0.96047,0.87368,0.92692,0.79279,0.21609,0.16433,0.57349,0.00798497,0.00798497,0.00798497
246,72251.4,0.37276,0.29765,0.70982,0.96072,0.87426,0.92709,0.7932,0.21555,0.16396,0.57316,0.00797671,0.00797671,0.00797671
247,72542.5,0.37403,0.29943,0.71006,0.96063,0.87456,0.92758,0.79407,0.2151,0.16358,0.57283,0.00796845,0.00796845,0.00796845
248,72833.4,0.37329,0.29963,0.71101,0.96084,0.87623,0.92794,0.79504,0.21457,0.16325,0.5725,0.00796019,0.00796019,0.00796019
249,73124.4,0.37328,0.29821,0.71095,0.96009,0.87763,0.92832,0.79601,0.21404,0.16288,0.57216,0.00795193,0.00795193,0.00795193
250,73415.6,0.36992,0.29592,0.7077,0.9607,0.87779,0.9287,0.79703,0.21351,0.16252,0.57182,0.00794368,0.00794368,0.00794368
251,73706.8,0.36931,0.29464,0.70695,0.96021,0.87909,0.92909,0.79828,0.21301,0.16214,0.5715,0.00793542,0.00793542,0.00793542
252,73997.7,0.37093,0.29772,0.70963,0.96121,0.87912,0.92963,0.79854,0.2125,0.16181,0.57117,0.00792716,0.00792716,0.00792716
253,74288.5,0.3698,0.29471,0.70779,0.96172,0.87961,0.92998,0.79969,0.21196,0.16141,0.57083,0.0079189,0.0079189,0.0079189
254,74579.9,0.36909,0.29558,0.70738,0.96307,0.87981,0.93032,0.80034,0.21145,0.16102,0.57051,0.00791064,0.00791064,0.00791064
255,74871.1,0.36682,0.29413,0.70622,0.96335,0.88002,0.93065,0.80123,0.21093,0.16069,0.57017,0.00790238,0.00790238,0.00790238
256,75162.9,0.36833,0.29419,0.706,0.9638,0.88126,0.93127,0.80233,0.21038,0.16034,0.56981,0.00789413,0.00789413,0.00789413
257,75454.5,0.36712,0.29444,0.70589,0.96214,0.88231,0.93167,0.80318,0.20987,0.15996,0.5695,0.00788587,0.00788587,0.00788587
258,75746.1,0.36955,0.29532,0.70672,0.964,0.88245,0.93201,0.80382,0.20936,0.15959,0.56916,0.00787761,0.00787761,0.00787761
259,76037.8,0.36798,0.29375,0.70683,0.96386,0.88283,0.93216,0.80447,0.20889,0.15926,0.56885,0.00786935,0.00786935,0.00786935
260,76330.1,0.36866,0.29387,0.70627,0.96628,0.88273,0.93253,0.80507,0.20843,0.15894,0.56856,0.00786109,0.00786109,0.00786109
261,76622.1,0.36845,0.29471,0.70742,0.96704,0.88241,0.93286,0.80581,0.20799,0.1586,0.56828,0.00785283,0.00785283,0.00785283
262,76913.4,0.36559,0.29111,0.7051,0.96564,0.88332,0.93328,0.8063,0.20753,0.15829,0.56798,0.00784458,0.00784458,0.00784458
263,77204.6,0.36613,0.29348,0.70508,0.96754,0.88288,0.93355,0.80691,0.20709,0.15798,0.56769,0.00783632,0.00783632,0.00783632
264,77495.5,0.36522,0.29213,0.70622,0.96794,0.88378,0.93389,0.80761,0.20664,0.15763,0.56741,0.00782806,0.00782806,0.00782806
265,77786.3,0.3655,0.29228,0.70545,0.96739,0.88441,0.93415,0.80826,0.20623,0.15735,0.56715,0.0078198,0.0078198,0.0078198
266,78077.2,0.36463,0.29127,0.70381,0.96677,0.88556,0.93443,0.80918,0.20578,0.15705,0.56687,0.00781154,0.00781154,0.00781154
267,78368.4,0.3652,0.2919,0.70384,0.96636,0.88652,0.93481,0.80968,0.20534,0.15676,0.56658,0.00780328,0.00780328,0.00780328
268,78659.8,0.36482,0.29329,0.70485,0.96645,0.88689,0.93521,0.81059,0.20492,0.1565,0.56629,0.00779502,0.00779502,0.00779502
269,78951.2,0.36308,0.29016,0.70295,0.9672,0.88722,0.93546,0.81162,0.20454,0.15622,0.56604,0.00778677,0.00778677,0.00778677
270,79242.8,0.36139,0.28924,0.70163,0.96863,0.8876,0.93582,0.81176,0.20408,0.15594,0.56574,0.00777851,0.00777851,0.00777851
271,79534,0.36379,0.29153,0.70346,0.96847,0.88857,0.93598,0.81273,0.20361,0.15559,0.56546,0.00777025,0.00777025,0.00777025
272,79825.6,0.36255,0.29028,0.70304,0.96685,0.8899,0.9363,0.81331,0.20319,0.15531,0.5652,0.00776199,0.00776199,0.00776199
273,80117.3,0.36285,0.29089,0.7028,0.9681,0.88976,0.93654,0.81371,0.20278,0.15504,0.56494,0.00775373,0.00775373,0.00775373
274,80409,0.36108,0.28858,0.70206,0.96769,0.88983,0.93685,0.81438,0.20239,0.15479,0.56466,0.00774547,0.00774547,0.00774547
275,80701,0.36064,0.28845,0.70077,0.96908,0.88967,0.93718,0.81522,0.20194,0.15456,0.56439,0.00773722,0.00773722,0.00773722
276,80993,0.36321,0.29027,0.70319,0.96912,0.89023,0.9375,0.81544,0.20157,0.15431,0.56414,0.00772896,0.00772896,0.00772896
277,81284.4,0.36165,0.28854,0.70211,0.97015,0.89008,0.93779,0.8162,0.20119,0.15407,0.56388,0.0077207,0.0077207,0.0077207
278,81575.4,0.36105,0.2873,0.7005,0.96977,0.89085,0.93795,0.81668,0.20075,0.15374,0.56362,0.00771244,0.00771244,0.00771244
279,81866.2,0.36021,0.28813,0.70041,0.96994,0.89201,0.93817,0.8172,0.20034,0.15348,0.56338,0.00770418,0.00770418,0.00770418
280,82157.5,0.3609,0.28866,0.70177,0.97119,0.89148,0.9386,0.81802,0.19997,0.15322,0.56313,0.00769593,0.00769593,0.00769593
281,82448.8,0.35941,0.28797,0.70071,0.97148,0.89224,0.93882,0.8184,0.19956,0.15293,0.56287,0.00768767,0.00768767,0.00768767
282,82739.7,0.35783,0.28617,0.70045,0.97167,0.89215,0.93917,0.8192,0.19915,0.15267,0.56262,0.00767941,0.00767941,0.00767941
283,83030.7,0.35854,0.28697,0.70047,0.9733,0.8922,0.93974,0.81944,0.19879,0.15243,0.56239,0.00767115,0.00767115,0.00767115
284,83322,0.36007,0.28671,0.70063,0.9733,0.89268,0.94,0.8198,0.19837,0.15214,0.56213,0.00766289,0.00766289,0.00766289
285,83612.9,0.35593,0.28444,0.69913,0.97368,0.8931,0.94007,0.82077,0.19799,0.15188,0.56191,0.00765463,0.00765463,0.00765463
286,83904.1,0.3581,0.2856,0.70008,0.97413,0.89327,0.94034,0.82118,0.19757,0.15159,0.56167,0.00764637,0.00764637,0.00764637
287,84195.4,0.35662,0.28504,0.69862,0.9743,0.89356,0.94081,0.82183,0.19719,0.15131,0.56142,0.00763812,0.00763812,0.00763812
288,84487.8,0.35833,0.28655,0.6999,0.97435,0.89358,0.94104,0.82255,0.19685,0.15105,0.56118,0.00762986,0.00762986,0.00762986
289,84779.9,0.35578,0.28393,0.69726,0.97588,0.89339,0.94136,0.8231,0.19646,0.15074,0.56095,0.0076216,0.0076216,0.0076216
290,85072.4,0.35464,0.28329,0.69765,0.97497,0.89409,0.94187,0.82365,0.19612,0.15055,0.56072,0.00761334,0.00761334,0.00761334
291,85365.4,0.35604,0.28433,0.69821,0.97372,0.8954,0.94221,0.82448,0.19577,0.15032,0.56049,0.00760508,0.00760508,0.00760508
292,85657.9,0.35384,0.28233,0.69588,0.97403,0.89542,0.94252,0.82514,0.19534,0.15005,0.56025,0.00759683,0.00759683,0.00759683
293,85950,0.35536,0.28361,0.69805,0.97375,0.89585,0.94268,0.82536,0.195,0.14983,0.56003,0.00758857,0.00758857,0.00758857
294,86242,0.35581,0.28384,0.69931,0.97475,0.89555,0.94268,0.82576,0.19463,0.14958,0.55981,0.00758031,0.00758031,0.00758031
295,86533.8,0.35482,0.28331,0.69679,0.97369,0.89635,0.94289,0.82626,0.19424,0.14929,0.55957,0.00757205,0.00757205,0.00757205
296,86825.9,0.35527,0.28327,0.69726,0.97434,0.89572,0.94304,0.82683,0.19383,0.14908,0.55933,0.00756379,0.00756379,0.00756379
297,87118,0.35233,0.28234,0.69593,0.97423,0.89699,0.943,0.8273,0.19345,0.14882,0.55909,0.00755553,0.00755553,0.00755553
298,87410.3,0.35383,0.28251,0.69582,0.97429,0.89734,0.94331,0.82774,0.19307,0.14859,0.55886,0.00754727,0.00754727,0.00754727
299,87703.1,0.35385,0.28274,0.69615,0.97476,0.89759,0.94377,0.82846,0.19276,0.14841,0.55866,0.00753902,0.00753902,0.00753902
300,87995.8,0.35265,0.28105,0.69448,0.97375,0.89797,0.94414,0.82888,0.19244,0.14817,0.55845,0.00753076,0.00753076,0.00753076
301,88288.5,0.35073,0.27934,0.69413,0.97279,0.89839,0.94429,0.82939,0.1921,0.14791,0.55824,0.0075225,0.0075225,0.0075225
302,88582.1,0.35277,0.28081,0.69576,0.97288,0.89863,0.94447,0.82946,0.19177,0.14773,0.55803,0.00751424,0.00751424,0.00751424
303,88874.9,0.35359,0.28106,0.69614,0.97279,0.89876,0.94465,0.83026,0.19148,0.14751,0.55783,0.00750598,0.00750598,0.00750598
304,89167.5,0.35078,0.28017,0.69499,0.97164,0.89957,0.94487,0.8307,0.19119,0.14732,0.55765,0.00749773,0.00749773,0.00749773
305,89460.2,0.3497,0.27867,0.69378,0.97007,0.90101,0.94512,0.83079,0.19084,0.1471,0.55744,0.00748947,0.00748947,0.00748947
306,89753,0.35077,0.27932,0.69316,0.97002,0.90164,0.94551,0.83163,0.19053,0.1469,0.55724,0.00748121,0.00748121,0.00748121
307,90045.9,0.35231,0.28036,0.6944,0.9703,0.90141,0.94573,0.83196,0.19019,0.1467,0.55704,0.00747295,0.00747295,0.00747295
308,90338.2,0.35096,0.27964,0.69383,0.97101,0.90141,0.94605,0.83229,0.1899,0.14644,0.55686,0.00746469,0.00746469,0.00746469
309,90630.5,0.3496,0.27834,0.69363,0.97116,0.90207,0.9461,0.83296,0.18959,0.14629,0.55665,0.00745643,0.00745643,0.00745643
310,90923,0.34972,0.27946,0.69383,0.97196,0.90215,0.9462,0.83339,0.18926,0.14611,0.55644,0.00744817,0.00744817,0.00744817
311,91216.1,0.34842,0.27824,0.69196,0.97249,0.90244,0.94655,0.83374,0.18894,0.14585,0.55625,0.00743992,0.00743992,0.00743992
312,91509.3,0.35037,0.28036,0.69419,0.97317,0.90297,0.94675,0.83435,0.18859,0.14564,0.55605,0.00743166,0.00743166,0.00743166
313,91802.7,0.34876,0.27729,0.69317,0.97235,0.90384,0.94693,0.83451,0.18831,0.1455,0.55587,0.0074234,0.0074234,0.0074234
314,92096,0.3482,0.27652,0.6918,0.9718,0.90409,0.94697,0.83492,0.188,0.14532,0.55567,0.00741514,0.00741514,0.00741514
315,92389.3,0.34677,0.2764,0.69186,0.97258,0.90514,0.94774,0.83547,0.18767,0.14512,0.55547,0.00740688,0.00740688,0.00740688
316,92682.5,0.34743,0.27636,0.6914,0.97277,0.9053,0.94788,0.83605,0.18736,0.1449,0.55528,0.00739863,0.00739863,0.00739863
317,92975.6,0.34668,0.276,0.69212,0.97356,0.90523,0.94813,0.83653,0.18709,0.14468,0.55511,0.00739037,0.00739037,0.00739037
318,93268.9,0.34688,0.2769,0.69168,0.97464,0.90452,0.94853,0.83718,0.18678,0.14448,0.55492,0.00738211,0.00738211,0.00738211
319,93561.9,0.34757,0.27732,0.69234,0.9726,0.90849,0.94883,0.83772,0.18649,0.14427,0.55473,0.00737385,0.00737385,0.00737385
320,93854.7,0.34684,0.2763,0.69212,0.97289,0.90859,0.94901,0.83801,0.18625,0.14412,0.55456,0.00736559,0.00736559,0.00736559
321,94147.8,0.34558,0.27499,0.69118,0.97403,0.90817,0.9492,0.83841,0.18596,0.1439,0.55438,0.00735733,0.00735733,0.00735733
322,94440.9,0.34437,0.27461,0.68973,0.97495,0.90826,0.94943,0.83924,0.18565,0.14373,0.5542,0.00734907,0.00734907,0.00734907
323,94734.1,0.34532,0.27517,0.69088,0.97582,0.90861,0.94959,0.8396,0.18537,0.14352,0.55402,0.00734082,0.00734082,0.00734082
324,95027.4,0.34299,0.27212,0.68813,0.97434,0.91082,0.94993,0.83986,0.18511,0.14335,0.55385,0.00733256,0.00733256,0.00733256
325,95320.4,0.34317,0.27367,0.689,0.97494,0.91002,0.95003,0.84005,0.18483,0.14319,0.55368,0.0073243,0.0073243,0.0073243
326,95613.2,0.34481,0.27501,0.68998,0.97136,0.91286,0.9503,0.84055,0.18459,0.14305,0.55352,0.00731604,0.00731604,0.00731604
327,95902.9,0.34488,0.2754,0.68996,0.97454,0.91106,0.95042,0.84087,0.18438,0.14291,0.55338,0.00730778,0.00730778,0.00730778
328,96193.5,0.34274,0.27402,0.68852,0.97335,0.91231,0.95081,0.8413,0.18416,0.14279,0.55322,0.00729953,0.00729953,0.00729953
329,96484.5,0.3422,0.27383,0.68892,0.97424,0.91193,0.95092,0.8416,0.18389,0.14264,0.55303,0.00729127,0.00729127,0.00729127
330,96775.5,0.34303,0.2726,0.68887,0.97389,0.91255,0.95093,0.84163,0.18366,0.14258,0.55288,0.00728301,0.00728301,0.00728301
331,97067,0.34467,0.2738,0.68915,0.97458,0.91216,0.95098,0.842,0.18339,0.14242,0.55273,0.00727475,0.00727475,0.00727475
332,97358.7,0.34311,0.27306,0.68937,0.97454,0.91291,0.95109,0.84238,0.18311,0.14223,0.55256,0.00726649,0.00726649,0.00726649
333,97650,0.34593,0.27464,0.69075,0.97541,0.91206,0.95137,0.84266,0.18285,0.14203,0.55241,0.00725823,0.00725823,0.00725823
334,97941.6,0.34467,0.27554,0.69094,0.97501,0.91255,0.95162,0.84315,0.18261,0.14189,0.55225,0.00724997,0.00724997,0.00724997
335,98232.8,0.34296,0.2732,0.68894,0.97522,0.91296,0.95173,0.84341,0.18244,0.14185,0.55212,0.00724172,0.00724172,0.00724172
336,98524.3,0.34238,0.27259,0.68909,0.97537,0.91318,0.95199,0.84379,0.18222,0.14166,0.55197,0.00723346,0.00723346,0.00723346
337,98816.2,0.34248,0.27338,0.68821,0.97509,0.91403,0.95217,0.84422,0.18195,0.14146,0.55181,0.0072252,0.0072252,0.0072252
338,99107.7,0.34465,0.27405,0.6901,0.9753,0.91358,0.95226,0.84439,0.18171,0.14132,0.55167,0.00721694,0.00721694,0.00721694
339,99399.7,0.34204,0.27324,0.6889,0.9759,0.9133,0.95236,0.84473,0.18151,0.14123,0.55153,0.00720868,0.00720868,0.00720868
340,99692.1,0.3412,0.27181,0.68781,0.97617,0.91378,0.95249,0.84524,0.18124,0.14105,0.55137,0.00720043,0.00720043,0.00720043
341,99984.8,0.34226,0.27181,0.68837,0.97617,0.91379,0.95258,0.84583,0.18101,0.14086,0.55124,0.00719217,0.00719217,0.00719217
342,100278,0.33905,0.26966,0.68584,0.97714,0.9135,0.95288,0.84619,0.18082,0.1407,0.55109,0.00718391,0.00718391,0.00718391
343,100571,0.34089,0.27123,0.68743,0.97738,0.91362,0.95299,0.84638,0.18063,0.14057,0.55097,0.00717565,0.00717565,0.00717565
344,100864,0.34026,0.27187,0.68697,0.97761,0.91312,0.95335,0.84692,0.18041,0.14047,0.55083,0.00716739,0.00716739,0.00716739
345,101157,0.34069,0.26991,0.68691,0.97932,0.91226,0.95341,0.84717,0.18015,0.14034,0.55068,0.00715913,0.00715913,0.00715913
346,101450,0.33996,0.27104,0.68669,0.97956,0.913,0.95355,0.84785,0.17995,0.1402,0.55055,0.00715088,0.00715088,0.00715088
347,101743,0.34036,0.27119,0.688,0.98028,0.91302,0.95358,0.84783,0.17967,0.14001,0.5504,0.00714262,0.00714262,0.00714262
348,102036,0.33896,0.27028,0.68673,0.97955,0.91309,0.95374,0.84838,0.17944,0.13989,0.55026,0.00713436,0.00713436,0.00713436
349,102329,0.33907,0.26987,0.68645,0.97987,0.91302,0.95387,0.84869,0.17924,0.13977,0.55013,0.0071261,0.0071261,0.0071261
350,102622,0.33747,0.26915,0.68442,0.98007,0.91322,0.95409,0.84908,0.17906,0.13967,0.54999,0.00711784,0.00711784,0.00711784
351,102915,0.33694,0.26752,0.68392,0.9815,0.91218,0.95415,0.84897,0.17881,0.13953,0.54984,0.00710958,0.00710958,0.00710958
352,103207,0.33619,0.26753,0.68379,0.98034,0.91301,0.95426,0.84952,0.17859,0.13937,0.54969,0.00710133,0.00710133,0.00710133
353,103500,0.33868,0.26939,0.68604,0.98225,0.91234,0.9544,0.84962,0.1784,0.13924,0.54957,0.00709307,0.00709307,0.00709307
354,103793,0.33648,0.26794,0.68459,0.98115,0.91323,0.95475,0.85006,0.17814,0.13906,0.54943,0.00708481,0.00708481,0.00708481
355,104085,0.33673,0.26724,0.68567,0.98181,0.91413,0.95481,0.8506,0.17787,0.13887,0.54928,0.00707655,0.00707655,0.00707655
356,104377,0.3375,0.26922,0.68573,0.98126,0.9158,0.95506,0.85086,0.17761,0.13869,0.54913,0.00706829,0.00706829,0.00706829
357,104670,0.33578,0.2678,0.68328,0.98212,0.91507,0.95532,0.85118,0.17742,0.13856,0.54899,0.00706003,0.00706003,0.00706003
358,104962,0.33637,0.26714,0.68374,0.98277,0.91482,0.95532,0.85147,0.1772,0.13844,0.54886,0.00705178,0.00705178,0.00705178
359,105255,0.33527,0.26683,0.68355,0.98308,0.91435,0.95558,0.85187,0.17699,0.13828,0.54873,0.00704352,0.00704352,0.00704352
360,105549,0.33665,0.26806,0.68354,0.98296,0.91492,0.95571,0.85229,0.17677,0.13816,0.5486,0.00703526,0.00703526,0.00703526
361,105842,0.33521,0.26691,0.68461,0.98274,0.91535,0.95564,0.85247,0.17657,0.138,0.54848,0.007027,0.007027,0.007027
362,106135,0.33671,0.26782,0.6856,0.98314,0.91556,0.95571,0.85296,0.1763,0.13785,0.54833,0.00701874,0.00701874,0.00701874
363,106428,0.33651,0.26728,0.68493,0.98327,0.91559,0.95585,0.85334,0.17609,0.13771,0.5482,0.00701048,0.00701048,0.00701048
364,106721,0.33471,0.26648,0.68356,0.98325,0.91547,0.95586,0.85368,0.17588,0.13752,0.54809,0.00700222,0.00700222,0.00700222
365,107014,0.33604,0.26729,0.68365,0.98308,0.91616,0.95603,0.85401,0.17566,0.13737,0.54796,0.00699397,0.00699397,0.00699397
