,bbch_13,bbch_14,bbch_15,bbch_16,bbch_17,bbch_19,bbch_20,bbch_21,bbch_22,bbch_23,bbch_27,bbch_28,bbch_29,bbch_51,bbch_52,bbch_53,bbch_54,bbch_55,bbch_56,bbch_59,bbch_60,bbch_61,bbch_62,bbch_63,bbch_64,bbch_65,bbch_66,bbch_67,bbch_68,bbch_69,bbch_70,bbch_71,bbch_72,bbch_73,bbch_74,bbch_75,bbch_76,bbch_77,bbch_78,bbch_79,bbch_80,bbch_81,bbch_82,bbch_83,bbch_84,bbch_85,bbch_86,bbch_87,bbch_88,bbch_89
bbch_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,4,0,4,5,3,68,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbch_68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,3,1,6,11,7,101,7,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbch_69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,4,0,6,10,118,11,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbch_70,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,2,8,17,265,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbch_71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,17,191,15,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbch_72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,199,16,10,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
bbch_73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,29,193,14,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0
bbch_74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,162,10,10,1,2,1,0,0,0,0,0,0,0,0,0,0
bbch_75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,5,9,18,17,207,17,10,0,0,1,0,0,0,0,0,0,0,0,0
bbch_76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,0,4,1,14,18,200,10,8,3,1,0,1,0,0,0,0,0,0,0
bbch_77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,16,192,29,4,1,0,0,0,0,1,0,0,0,0
bbch_78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,12,30,255,27,3,0,2,0,0,0,0,0,0,0
bbch_79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,11,39,423,1,5,4,4,0,0,0,0,0,0
bbch_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21,108,3,0,2,1,0,0,0,0,1
bbch_81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,126,5,3,0,4,0,1,0,0
bbch_82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,15,98,7,3,0,0,0,0,0
bbch_83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,4,99,6,1,0,2,0,0
bbch_84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1,12,69,3,0,0,0,1
bbch_85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,80,0,0,0,2
bbch_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,29,2,1,4
bbch_87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,40,0,0
bbch_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,35,0
bbch_89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,52
